previous_date,new_date,sum_ESID_diff,sum_LABEL_diff,sum_previous_ESID,sum_new_ESID
2023-12-13,2023-12-13,0,0,0,0
2023-12-13,2023-12-14,76,76,47,29
2023-12-14,2023-12-15,70,70,35,35
2023-12-15,2023-12-16,0,0,0,0
2023-12-16,2023-12-17,636,636,567,69
2023-12-17,2023-12-18,31,31,16,15
2023-12-18,2023-12-19,0,0,0,0
2023-12-19,2023-12-20,454,454,226,228
2023-12-20,2023-12-21,99,99,54,45
2023-12-21,2023-12-22,56,56,19,37
2023-12-22,2023-12-23,78,78,38,40
2023-12-23,2023-12-24,71,71,35,36
2023-12-24,2023-12-25,30,30,15,15
2023-12-25,2023-12-26,144,144,72,72
2023-12-26,2023-12-27,30,30,15,15
2023-12-27,2023-12-28,30,30,15,15
2023-12-28,2023-12-29,30,30,15,15
2023-12-29,2023-12-30,39,40,19,20
2023-12-30,2023-12-31,34,34,17,17
2023-12-31,2024-01-01,96,96,77,19
2024-01-01,2024-01-02,140,140,123,17
2024-01-02,2024-01-03,154,154,23,131
2024-01-03,2024-01-04,90,90,12,78
2024-01-04,2024-01-05,91,91,78,13
