previous_date,new_date,sum_ESID_diff,sum_LABEL_diff,sum_previous_ESID,sum_new_ESID
2023-12-13,2023-12-13,0,0,0,0
2023-12-13,2023-12-14,76,76,47,29
2023-12-14,2023-12-15,70,70,35,35
2023-12-15,2023-12-16,0,0,0,0
2023-12-16,2023-12-17,636,636,567,69
2023-12-17,2023-12-18,31,31,16,15
2023-12-18,2023-12-19,0,0,0,0
2023-12-19,2023-12-20,454,454,226,228
2023-12-20,2023-12-21,99,99,54,45
2023-12-21,2023-12-22,56,56,19,37
2023-12-22,2023-12-23,78,78,38,40
2023-12-23,2023-12-24,71,71,35,36
2023-12-24,2023-12-25,30,30,15,15
2023-12-25,2023-12-26,144,144,72,72
2023-12-26,2023-12-27,30,30,15,15
2023-12-27,2023-12-28,30,30,15,15
2023-12-28,2023-12-29,30,30,15,15
2023-12-29,2023-12-30,39,40,19,20
2023-12-30,2023-12-31,34,34,17,17
2023-12-31,2024-01-01,96,96,77,19
2024-01-01,2024-01-02,140,140,123,17
2024-01-02,2024-01-03,154,154,23,131
2024-01-03,2024-01-04,90,90,12,78
2024-01-04,2024-01-05,91,91,78,13
2024-01-05,2024-01-06,62,62,11,51
2024-01-06,2024-01-07,24,24,12,12
2024-01-07,2024-01-08,22,22,11,11
2024-01-08,2024-01-09,40,40,20,20
2024-01-09,2024-01-10,25,25,12,13
2024-01-10,2024-01-11,23,23,11,12
2024-01-11,2024-01-12,24,24,12,12
2024-01-12,2024-01-13,22,22,11,11
2024-01-13,2024-01-14,22,22,11,11
2024-01-14,2024-01-15,22,22,11,11
2024-01-15,2024-01-16,50,50,24,26
2024-01-16,2024-01-17,29,29,11,18
2024-01-17,2024-01-18,40,40,17,23
2024-01-18,2024-01-19,1,1,1,0
2024-01-19,2024-01-20,67,67,25,42
2024-01-20,2024-01-21,42,42,21,21
2024-01-21,2024-01-22,52,52,26,26
2024-01-22,2024-01-23,56,56,26,30
2024-01-23,2024-01-24,56,56,28,28
2024-01-24,2024-01-25,57,57,28,29
2024-01-25,2024-01-26,52,52,26,26
2024-01-26,2024-01-27,598,598,222,376
2024-01-27,2024-01-28,0,0,0,0
2024-01-28,2024-01-29,179,179,72,107
2024-01-29,2024-01-30,0,0,0,0
2024-01-30,2024-01-31,112,112,72,40
2024-01-31,2024-02-01,267,267,204,63
2024-02-01,2024-02-02,312,312,80,232
2024-02-02,2024-02-03,59,59,29,30
2024-02-03,2024-02-04,84,84,44,40
2024-02-04,2024-02-05,62,62,31,31
2024-02-05,2024-02-06,0,0,0,0
2024-02-06,2024-02-07,555,556,529,26
2024-02-07,2024-02-08,79,80,38,41
2024-02-08,2024-02-09,64,64,32,32
2024-02-09,2024-02-10,109,109,60,49
2024-02-10,2024-02-11,108,108,50,58
2024-02-11,2024-02-12,40,40,20,20
2024-02-12,2024-02-13,0,0,0,0
2024-02-13,2024-02-14,90,90,43,45
2024-02-14,2024-02-15,100,100,50,50
2024-02-15,2024-02-16,81,82,42,39
2024-02-16,2024-02-17,55,55,27,28
2024-02-17,2024-02-18,41,41,20,21
2024-02-18,2024-02-19,54,54,26,28
2024-02-19,2024-02-20,38,38,19,19
2024-02-20,2024-02-21,36,36,18,18
2024-02-21,2024-02-22,0,0,0,0
2024-02-22,2024-02-23,0,0,0,0
2024-02-23,2024-02-24,0,0,0,0
2024-02-24,2024-02-25,115,118,115,0
2024-02-25,2024-02-26,1459,1459,192,1267
2024-02-26,2024-02-27,300,300,269,30
2024-02-27,2024-02-28,47,47,23,24
2024-02-28,2024-02-29,435,435,87,347
2024-02-29,2024-03-01,70,71,35,35
2024-03-01,2024-03-02,629,632,506,123
2024-03-02,2024-03-03,499,499,24,475
2024-03-03,2024-03-04,155,155,62,93
2024-03-04,2024-03-05,50,50,23,27
2024-03-05,2024-03-06,47,47,24,22
2024-03-06,2024-03-07,273,273,101,172
2024-03-07,2024-03-08,682,681,401,279
2024-03-08,2024-03-09,37,37,14,23
2024-03-09,2024-03-10,24,24,12,12
2024-03-10,2024-03-11,22,22,11,11
2024-03-11,2024-03-12,13,13,6,7
2024-03-12,2024-03-13,282,313,127,153
2024-03-13,2024-03-14,0,0,0,0
2024-03-14,2024-03-15,539,540,180,359
2024-03-15,2024-03-16,259,259,127,132
2024-03-16,2024-03-17,226,226,113,113
2024-03-17,2024-03-18,196,196,98,98
2024-03-18,2024-03-19,59137,59137,29479,29658
2024-03-19,2024-03-20,74174,74173,36926,37247
2024-03-20,2024-03-21,110,110,54,56
2024-03-21,2024-03-22,143,143,69,74
2024-03-22,2024-03-23,58,58,29,29
2024-03-23,2024-03-24,45,45,22,23
2024-03-24,2024-03-25,22,22,11,11
2024-03-25,2024-03-26,733,734,366,367
2024-03-26,2024-03-27,52,53,25,27
2024-03-27,2024-03-28,32,32,16,16
2024-03-28,2024-03-29,89,89,44,45
2024-03-29,2024-03-30,81,81,39,42
2024-03-30,2024-03-31,60,60,30,30
2024-03-31,2024-04-01,40,40,20,20
2024-04-01,2024-04-02,331,331,165,166
2024-04-02,2024-04-03,0,0,0,0
2024-04-03,2024-04-04,0,0,0,0
2024-04-04,2024-04-05,474,473,350,123
2024-04-05,2024-04-06,18,18,9,9
2024-04-06,2024-04-07,25,25,12,13
2024-04-07,2024-04-08,12,12,6,6
2024-04-08,2024-04-09,138,139,69,69
2024-04-09,2024-04-10,22,22,11,11
2024-04-10,2024-04-11,0,0,0,0
